base_name,latitude,longitude
Altus Air Force Base,34°39′59″N,099°16′05″W
Arnold Air Force Base,35°23′33″N,086°05′09″W
Barksdale Air Force Base,32°30′07″N,093°39′46″W
Beale Air Force Base,39°08′10″N,121°26′11″W
Buckley Air Force Base,39°42′06″N,104°45′06″W
Cannon Air Force Base,34°22′58″N,103°19′20″W
Cavalier Air Force Station,48°43′55″N,97°54′16″W
Columbus Air Force Base,33°38′38″N,088°26′38″W
Creech Air Force Base,36°35′14″N,115°40′24″W
Davis–Monthan Air Force Base,32°09′59″N,110°52′59″W
Dover Air Force Base,39°07′42″N,075°27′53″W
Dyess Air Force Base,32°25′15″N,099°51′17″W
Edwards Air Force Base,34°54′20″N,117°53′01″W
Eglin Air Force Base,30°29′N,086°32′W
Ellsworth Air Force Base,44°08′42″N,103°06′13″W
Francis E. Warren Air Force Base,41°07′59″N,104°52′01″W
Fairchild Air Force Base,47°36′54″N,117°39′20″W
Goodfellow Air Force Base,31°25′46.6716″N,100°23′56.5434″W
Grand Forks Air Force Base,47°57′40″N,097°24′04″W
Hanscom Air Force Base,42°28′12″N,071°17′21″W
Hill Air Force Base,41°07′26″N,111°58′22″W
Holloman Air Force Base,32°51′09″N,106°06′23″W
Hurlburt Field,30°25′40″N,086°41′22″W
Keesler Air Force Base,30°24′41″N,088°55′25″W
Kirtland Air Force Base,35°02′25″N,106°36′33″W
Laughlin Air Force Base,29°21′34″N,100°46′41″W
Little Rock Air Force Base,34°55′01″N,092°08′47″W
Los Angeles Air Force Base,33°55′08.79″N,118°22′50.23″W
Luke Air Force Base,33°32′06″N,112°22′59″W
MacDill Air Force Base,27°50′58″N,082°31′16″W
Malmstrom Air Force Base,47°30′17″N,111°11′14″W
Maxwell Air Force Base,32°22′45″N,086°21′45″W
McConnell Air Force Base,37°37′23″N,097°16′02″W
Minot Air Force Base,48°24′57″N,101°21′29″W
Moody Air Force Base,30°58′4″N,83°11′34″W
Mountain Home Air Force Base,43°02′37″N,115°52′21″W
Nellis Air Force Base,36°14′10″N,115°02′03″W
Offutt Air Force Base,41°07′10″N,095°54′31″W
Patrick Air Force Base,28°14′06″N,080°36′36″W
Peterson Air Force Base,38°49′25″N,104°41′42″W
Pope Field,35°10′15″N,079°00′52″W
Robins Air Force Base,32°38′24″N,083°35′30″W
Schriever Air Force Base,38°48′12″N,104°31′32″W
Scott Air Force Base,38°32′43″N,089°50′07″W
Seymour Johnson Air Force Base,35°20′22″N,077°57′38″W
Shaw Air Force Base,33°58′23″N,080°28′22″W
Sheppard Air Force Base,33°59′20″N,098°29′31″W
Thule Air Base,76°31′52″N,068°42′12″W
Tinker Air Force Base,35°24′53″N,097°23′12″W
Travis Air Force Base,38°15′46″N,121°55′39″W
Tyndall Air Force Base,30°4′43″N,85°34′35″W
United States Air Force Academy,38°59′25″N,104°51′30″W
Vance Air Force Base,36°20′22″N,097°55′02″W
Vandenberg Air Force Base,34°43′57″N,120°34′05″W
Whiteman Air Force Base,38°43′49″N,093°32′53″W
Wright-Patterson Air Force Base,39°49′23″N,084°02′58″W
